#cnt bytes time_avg time_min bandwidth
1516 12128 1.9966e-05 1.96934e-05 6.15842e+08
1521 12168 2.00195e-05 1.96934e-05 6.17873e+08
1526 12208 2.02459e-05 1.99437e-05 6.12123e+08
1531 12248 3.42121e-05 3.07918e-05 3.97769e+08
1536 12288 3.42267e-05 3.11017e-05 3.95091e+08
1541 12328 3.4405e-05 3.12448e-05 3.94562e+08
1546 12368 3.43055e-05 3.03984e-05 4.06864e+08
1551 12408 3.30775e-05 3.03984e-05 4.0818e+08
1556 12448 3.28846e-05 3.0303e-05 4.10784e+08
1561 12488 3.28257e-05 3.03984e-05 4.10812e+08
1566 12528 3.33505e-05 3.03507e-05 4.12775e+08
1571 12568 3.28724e-05 3.03984e-05 4.13443e+08
1576 12608 3.38311e-05 3.03984e-05 4.14759e+08
1581 12648 3.4794e-05 3.03984e-05 4.16075e+08
1586 12688 3.4863e-05 3.04461e-05 4.16737e+08
1591 12728 3.22695e-05 3.04461e-05 4.18051e+08
1596 12768 3.24874e-05 3.0458e-05 4.19201e+08
1601 12808 3.23297e-05 3.04937e-05 4.20021e+08
1606 12848 3.25425e-05 3.05533e-05 4.2051e+08
1611 12888 3.26713e-05 3.05414e-05 4.21984e+08
1616 12928 3.25503e-05 3.0601e-05 4.2247e+08
1621 12968 3.25253e-05 3.0601e-05 4.23777e+08
1626 13008 3.26104e-05 3.06487e-05 4.24422e+08
1631 13048 3.26977e-05 3.06487e-05 4.25728e+08
1636 13088 3.22692e-05 3.06487e-05 4.27033e+08
1641 13128 3.67725e-05 3.32952e-05 3.94292e+08
1646 13168 3.64066e-05 3.16024e-05 4.16677e+08
1651 13208 3.53972e-05 3.14474e-05 4.20003e+08
1656 13248 3.54596e-05 3.08037e-05 4.30078e+08
1661 13288 3.30426e-05 3.07918e-05 4.31544e+08
1666 13328 3.25725e-05 3.08037e-05 4.32676e+08
1671 13368 3.26931e-05 3.08514e-05 4.33303e+08
1676 13408 3.22411e-05 3.08037e-05 4.35273e+08
1681 13448 3.27486e-05 3.08514e-05 4.35896e+08
1686 13488 3.23801e-05 3.0899e-05 4.36518e+08
1691 13528 3.30009e-05 3.0899e-05 4.37813e+08
1696 13568 3.29168e-05 3.09944e-05 4.37756e+08
1701 13608 3.26074e-05 3.10421e-05 4.38372e+08
1706 13648 3.31911e-05 3.10898e-05 4.38987e+08
1711 13688 3.2699e-05 3.10898e-05 4.40273e+08
1716 13728 3.29734e-05 3.10898e-05 4.4156e+08
1721 13768 3.29564e-05 3.11971e-05 4.41323e+08
1726 13808 3.31781e-05 3.11971e-05 4.42606e+08
1731 13848 3.33788e-05 3.12924e-05 4.42535e+08
1736 13888 3.35797e-05 3.13401e-05 4.43138e+08
1741 13928 3.34492e-05 3.1352e-05 4.44245e+08
1746 13968 3.31581e-05 3.13997e-05 4.44845e+08
1751 14008 3.32197e-05 3.14951e-05 4.44768e+08
1756 14048 3.32243e-05 3.14951e-05 4.46038e+08
1761 14088 3.37255e-05 3.16024e-05 4.45789e+08
1766 14128 3.35716e-05 3.1805e-05 4.44206e+08
1771 14168 3.38181e-05 3.17931e-05 4.45631e+08
